TA,TA code,Measure,Age group,Rate,Rate - 95% CI Lower,Rate - 95% CI Upper,Estimate,Estimate - 95% CI Lower,Estimate - 95% CI Upper,TA population,Method
Ashburton district,63,Hearing,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ashburton district,63,Overall,0 to 4,5,4,7,132,102,168,2443,SDE
Ashburton district,63,Physical,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ashburton district,63,Psychological,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ashburton district,63,Vision,0 to 4,NA,NA,NA,NA,NA,NA,NA,SDE
Ashburton district,63,Hearing,10 to 14,1,0,3,30,24,48,2135,SDE
Ashburton district,63,Overall,10 to 14,14,11,17,306,252,363,2135,SDE
Ashburton district,63,Physical,10 to 14,2,1,3,42,27,63,2135,SDE
Ashburton district,63,Psychological,10 to 14,6,4,8,126,90,168,2135,SDE
Ashburton district,63,Vision,10 to 14,1,0,2,18,9,27,2135,SDE
Ashburton district,63,Hearing,15 to 19,2,1,3,42,30,54,1923,SDE
Ashburton district,63,Overall,15 to 19,16,13,20,315,261,375,1923,SDE
Ashburton district,63,Physical,15 to 19,4,2,6,75,54,102,1923,SDE
Ashburton district,63,Psychological,15 to 19,6,4,9,117,84,159,1923,SDE
Ashburton district,63,Vision,15 to 19,1,0,2,21,12,33,1923,SDE
Ashburton district,63,Hearing,20 to 24,3,2,5,63,42,81,1811,SDE
Ashburton district,63,Overall,20 to 24,17,13,21,303,246,369,1811,SDE
Ashburton district,63,Physical,20 to 24,6,4,9,111,78,153,1811,SDE
Ashburton district,63,Psychological,20 to 24,6,4,9,108,78,153,1811,SDE
Ashburton district,63,Vision,20 to 24,2,1,3,30,18,45,1811,SDE
Ashburton district,63,Hearing,25 to 29,3,2,5,69,39,87,1943,SDE
Ashburton district,63,Overall,25 to 29,16,12,20,300,243,372,1943,SDE
Ashburton district,63,Physical,25 to 29,6,4,8,111,75,153,1943,SDE
Ashburton district,63,Psychological,25 to 29,6,4,9,114,81,162,1943,SDE
Ashburton district,63,Vision,25 to 29,2,1,3,36,21,57,1943,SDE
Ashburton district,63,Hearing,30 to 34,3,2,5,66,42,84,2051,SDE
Ashburton district,63,Overall,30 to 34,14,11,17,282,228,339,2051,SDE
Ashburton district,63,Physical,30 to 34,5,3,8,111,78,153,2051,SDE
Ashburton district,63,Psychological,30 to 34,5,3,8,111,78,150,2051,SDE
Ashburton district,63,Vision,30 to 34,1,0,2,27,18,42,2051,SDE
Ashburton district,63,Hearing,35 to 39,4,2,5,78,51,96,2099,SDE
Ashburton district,63,Overall,35 to 39,14,11,18,303,243,372,2099,SDE
Ashburton district,63,Physical,35 to 39,7,5,10,144,105,192,2099,SDE
Ashburton district,63,Psychological,35 to 39,5,3,8,114,81,156,2099,SDE
Ashburton district,63,Vision,35 to 39,1,0,2,24,15,39,2099,SDE
Ashburton district,63,Hearing,40 to 44,5,3,7,120,81,144,2329,SDE
Ashburton district,63,Overall,40 to 44,18,15,22,423,348,507,2329,SDE
Ashburton district,63,Physical,40 to 44,8,6,12,195,147,264,2329,SDE
Ashburton district,63,Psychological,40 to 44,6,4,8,135,99,183,2329,SDE
Ashburton district,63,Vision,40 to 44,2,1,4,57,39,75,2329,SDE
Ashburton district,63,Hearing,45 to 49,7,5,9,162,117,186,2154,SDE
Ashburton district,63,Overall,45 to 49,23,19,28,504,420,600,2154,SDE
Ashburton district,63,Physical,45 to 49,11,8,15,240,180,312,2154,SDE
Ashburton district,63,Psychological,45 to 49,7,4,9,141,102,189,2154,SDE
Ashburton district,63,Vision,45 to 49,5,3,7,102,78,138,2154,SDE
Ashburton district,63,Hearing,5 to 9,2,1,3,39,21,51,2225,SDE
Ashburton district,63,Overall,5 to 9,12,9,14,258,210,312,2225,SDE
Ashburton district,63,Physical,5 to 9,2,1,3,36,24,51,2225,SDE
Ashburton district,63,Psychological,5 to 9,4,3,6,93,69,126,2225,SDE
Ashburton district,63,Vision,5 to 9,1,0,2,18,12,30,2225,SDE
Ashburton district,63,Hearing,50 to 54,9,6,11,198,150,240,2169,SDE
Ashburton district,63,Overall,50 to 54,27,23,32,591,504,687,2169,SDE
Ashburton district,63,Physical,50 to 54,15,11,19,315,243,402,2169,SDE
Ashburton district,63,Psychological,50 to 54,7,4,9,144,105,195,2169,SDE
Ashburton district,63,Vision,50 to 54,6,4,8,123,96,159,2169,SDE
Ashburton district,63,Hearing,55 to 59,11,8,14,222,171,267,1941,SDE
Ashburton district,63,Overall,55 to 59,30,25,35,582,501,675,1941,SDE
Ashburton district,63,Physical,55 to 59,18,13,23,345,267,435,1941,SDE
Ashburton district,63,Psychological,55 to 59,6,4,8,111,81,156,1941,SDE
Ashburton district,63,Vision,55 to 59,5,4,7,102,78,132,1941,SDE
Ashburton district,63,Hearing,60 to 64,15,11,17,285,210,318,1870,SDE
Ashburton district,63,Overall,60 to 64,34,29,40,642,552,738,1870,SDE
Ashburton district,63,Physical,60 to 64,22,17,28,417,324,516,1870,SDE
Ashburton district,63,Psychological,60 to 64,5,3,7,87,63,120,1870,SDE
Ashburton district,63,Vision,60 to 64,5,3,7,96,72,123,1870,SDE
Ashburton district,63,Hearing,65 to 69,19,14,24,288,219,348,1488,SDE
Ashburton district,63,Overall,65 to 69,40,35,47,603,522,693,1488,SDE
Ashburton district,63,Physical,65 to 69,28,22,36,423,336,522,1488,SDE
Ashburton district,63,Psychological,65 to 69,4,2,6,60,39,84,1488,SDE
Ashburton district,63,Vision,65 to 69,5,4,7,81,60,105,1488,SDE
Ashburton district,63,Hearing,70 to 74,24,19,31,312,246,390,1278,SDE
Ashburton district,63,Overall,70 to 74,50,44,58,642,564,729,1278,SDE
Ashburton district,63,Physical,70 to 74,38,30,47,486,387,594,1278,SDE
Ashburton district,63,Psychological,70 to 74,4,2,6,48,33,69,1278,SDE
Ashburton district,63,Vision,70 to 74,6,5,9,81,63,108,1278,SDE
Ashburton district,63,Hearing,75 to 79,30,23,38,282,222,351,944,SDE
Ashburton district,63,Overall,75 to 79,62,55,70,588,522,657,944,SDE
Ashburton district,63,Physical,75 to 79,51,41,62,483,393,582,944,SDE
Ashburton district,63,Psychological,75 to 79,4,2,6,39,24,54,944,SDE
Ashburton district,63,Vision,75 to 79,9,7,13,90,69,114,944,SDE
Ashburton district,63,Hearing,80+,39,31,48,480,384,579,1230,SDE
Ashburton district,63,Overall,80+,76,67,84,930,831,1032,1230,SDE
